latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.690685,-79.41174,99,-14400,America/Toronto,GMT-4
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),surface_pressure (hPa)
2024-03-05T14:00,14.2,72,0.9,10,1000.8
2024-03-05T15:00,14.7,69,0,13.3,999.9
2024-03-05T16:00,14.9,72,0.2,9.7,999.7
2024-03-05T17:00,13.9,82,0,6.3,999.7
2024-03-05T18:00,12.1,89,0,6.1,999.9
2024-03-05T19:00,12.1,88,0,12,1000.6
2024-03-05T20:00,11.4,81,0,19.2,1000.8
2024-03-05T21:00,9.2,91,0,16,1001.2
2024-03-05T22:00,7.9,93,0.2,17.6,1001.6
2024-03-05T23:00,7.3,93,0.2,18,1001.7
2024-03-06T00:00,7,93,0.1,19.3,1001.7
2024-03-06T01:00,6.8,95,0.1,18.2,1002
2024-03-06T02:00,6.4,96,0.3,17.1,1002
2024-03-06T03:00,6.4,94,0.2,15.5,1002.3
2024-03-06T04:00,6.2,94,0,14.5,1002.4
2024-03-06T05:00,6,94,0,13.1,1002.5
2024-03-06T06:00,5.8,94,0,12.6,1003.2
2024-03-06T07:00,5.6,93,0,13.3,1003.5
2024-03-06T08:00,5.4,93,0,12.6,1004.4
2024-03-06T09:00,6.8,94,0,8.7,1004.5
2024-03-06T10:00,7.1,90,0,9.1,1005.1
2024-03-06T11:00,7.4,89,0,9.5,1005.2
2024-03-06T12:00,7.7,88,0.1,9.7,1005.3
2024-03-06T13:00,7.7,88,0.2,8.3,1005.6
2024-03-06T14:00,8.1,85,0.2,10.9,1005.4
2024-03-06T15:00,8.5,82,0,14.4,1004.9
2024-03-06T16:00,8.1,80,0,15.6,1005.3
2024-03-06T17:00,7.3,81,0,14.6,1005.2
2024-03-06T18:00,6.8,83,0.1,15.2,1005.5
2024-03-06T19:00,6.6,81,0,16.3,1006
2024-03-06T20:00,6.2,76,0,18.5,1006.4
2024-03-06T21:00,4.6,81,0,16.9,1007
2024-03-06T22:00,4.3,79,0,17.1,1007.4
2024-03-06T23:00,4.1,79,0.1,16.9,1007.3
2024-03-07T00:00,3.8,81,0.1,15.5,1007
2024-03-07T01:00,3.8,81,0.1,14.9,1007
2024-03-07T02:00,3.8,79,0,16.2,1007.3
2024-03-07T03:00,3.8,72,0,17.3,1007.4
2024-03-07T04:00,3,67,0,16.4,1007.6
2024-03-07T05:00,2.2,66,0,15.6,1007.7
2024-03-07T06:00,1.2,67,0,14.8,1008.1
2024-03-07T07:00,0.5,67,0,14.8,1008.9
2024-03-07T08:00,-0.1,67,0,13.7,1009.6
2024-03-07T09:00,1.8,70,0,15.6,1010.1
2024-03-07T10:00,3.8,61,0,13.4,1010.7
2024-03-07T11:00,5.8,55,0,12.5,1011.1
2024-03-07T12:00,7.1,52,0,10.8,1011
2024-03-07T13:00,8.1,51,0,9.4,1010.8
2024-03-07T14:00,8.6,53,0,9.4,1010.1
2024-03-07T15:00,8.5,56,0,9.6,1009.8
2024-03-07T16:00,8.4,56,0,8.8,1009.5
2024-03-07T17:00,7.9,57,0,7.4,1009.6
2024-03-07T18:00,6.9,59,0,5.6,1009.9
2024-03-07T19:00,4.1,78,0,7.9,1010.1
2024-03-07T20:00,2.5,79,0,8.3,1010.4
2024-03-07T21:00,3,73,0,7.7,1010.3
2024-03-07T22:00,1.9,75,0,6.8,1010.9
2024-03-07T23:00,0.9,80,0,7.8,1011.5
2024-03-08T00:00,1.7,78,0,8.8,1011.5
2024-03-08T01:00,1.5,82,0,9.5,1011.5
2024-03-08T02:00,1.5,84,0,10.6,1011.8
2024-03-08T03:00,2.2,77,0,14.4,1011.9
2024-03-08T04:00,2.5,77,0,16.6,1011.6
2024-03-08T05:00,2.3,79,0,18.1,1011.4
2024-03-08T06:00,2.2,80,0,19.4,1011.6
2024-03-08T07:00,2,83,0,19.8,1011.8
2024-03-08T08:00,1.9,84,0,19.6,1012.1
2024-03-08T09:00,3.7,81,0,20,1011.5
2024-03-08T10:00,4.5,79,0,19.8,1011.4
2024-03-08T11:00,5.1,78,0,21.3,1011.3
2024-03-08T12:00,5.8,75,0,22.5,1010.6
2024-03-08T13:00,6.4,72,0,21.4,1010.3
2024-03-08T14:00,6.9,70,0,22,1009.5
2024-03-08T15:00,7.1,67,0,23.1,1008.2
2024-03-08T16:00,7,62,0,22.8,1007.2
2024-03-08T17:00,6.6,63,0,19.7,1006.4
2024-03-08T18:00,6.2,63,0,20.6,1005.7
2024-03-08T19:00,6.2,59,0,24.8,1005
2024-03-08T20:00,6.3,59,0,25.6,1004.4
2024-03-08T21:00,6.8,60,0,22.9,1003.4
2024-03-08T22:00,6.9,66,0.1,19.9,1002.6
2024-03-08T23:00,6.2,86,2.1,8.4,1002.3
2024-03-09T00:00,6.5,84,0.1,6.9,1001.3
2024-03-09T01:00,7.7,85,0,14.4,1000.9
2024-03-09T02:00,8.1,86,0,15.4,1000.1
2024-03-09T03:00,7.8,88,0.2,15.7,999.3
2024-03-09T04:00,7.6,89,0.2,13.2,998.2
2024-03-09T05:00,7.4,88,1.2,15.5,997.3
2024-03-09T06:00,7.2,89,2.6,20.7,996.6
2024-03-09T07:00,6.9,90,1.7,20.1,995.9
2024-03-09T08:00,6.7,93,3.3,20.2,994.9
2024-03-09T09:00,7.3,93,1.5,23.5,992.9
2024-03-09T10:00,7.6,91,0.8,27.2,992.1
2024-03-09T11:00,7.7,92,0.6,26.6,991.5
2024-03-09T12:00,8,89,0.3,28.9,990.7
2024-03-09T13:00,8.3,92,0.6,29.5,990.5
2024-03-09T14:00,8.5,90,0.3,31.2,990.1
2024-03-09T15:00,8.2,93,0.1,25.2,989.3
2024-03-09T16:00,8.9,94,0,16.7,989.3
2024-03-09T17:00,9.4,78,0,18,989.4
2024-03-09T18:00,8.9,69,0,16.4,990.3
2024-03-09T19:00,7.2,70,0,14.2,991.5
2024-03-09T20:00,5.8,73,0,15.6,991.7
2024-03-09T21:00,4.8,73,0,9.4,991.8
2024-03-09T22:00,4.6,76,0,9.7,991.4
2024-03-09T23:00,4.6,76,0,10.4,990.9
2024-03-10T00:00,4.1,77,0,11.3,990.6
2024-03-10T01:00,3.8,75,0,12.3,990.4
2024-03-10T02:00,3.3,76,0,11.3,990.3
2024-03-10T03:00,3.2,76,0,12.3,990
2024-03-10T04:00,3,76,0,13.7,989.4
2024-03-10T05:00,2.8,77,0,14.4,989
2024-03-10T06:00,1.9,80,0,14.8,989.1
2024-03-10T07:00,0.2,75,0,16.4,989
2024-03-10T08:00,-0.4,73,0,19.9,989
2024-03-10T09:00,0,71,0.1,20.6,989.1
2024-03-10T10:00,-0.1,64,0,24.5,989.3
2024-03-10T11:00,0.2,61,0,26.7,989.7
2024-03-10T12:00,1,55,0,26.7,990.2
2024-03-10T13:00,0.8,52,0,27,990.7
2024-03-10T14:00,0,53,0,28.5,990.8
2024-03-10T15:00,0.2,52,0,30.3,990.7
2024-03-10T16:00,-0.1,53,0,31.6,991.2
2024-03-10T17:00,-0.5,54,0,33.3,991.7
2024-03-10T18:00,-0.7,55,0,31.1,992.6
2024-03-10T19:00,-0.9,58,0,29.3,993.3
2024-03-10T20:00,-0.8,62,0,28.9,994.2
2024-03-10T21:00,-0.9,69,0.1,22.3,995.2
2024-03-10T22:00,-0.4,70,0.1,27.5,996.2
2024-03-10T23:00,0.2,64,0,27.1,996.6
2024-03-11T00:00,0.5,56,0,27.3,996.9
2024-03-11T01:00,0.3,51,0,25,997.5
2024-03-11T02:00,-0.2,53,0,25,998.2
2024-03-11T03:00,-0.7,55,0,24.2,998.5
2024-03-11T04:00,-0.9,56,0,25.3,998.4
2024-03-11T05:00,-1.1,56,0,26.3,998.6
2024-03-11T06:00,-1.3,55,0,24.6,999.4
2024-03-11T07:00,-1.5,54,0,23.1,1000.4
2024-03-11T08:00,-1.5,53,0,20.5,1001.5
2024-03-11T09:00,-0.2,58,0,16.1,1003.2
2024-03-11T10:00,1.4,52,0,19.7,1003.7
2024-03-11T11:00,3.1,46,0,21.2,1004.1
2024-03-11T12:00,4.7,40,0,21.3,1003.8
2024-03-11T13:00,6.1,37,0,21.7,1003.2
2024-03-11T14:00,7.2,37,0,21.7,1002.5
2024-03-11T15:00,7.7,37,0,22,1001.9
2024-03-11T16:00,8,36,0,22.7,1001.6
2024-03-11T17:00,8,33,0,20.4,1001.2
2024-03-11T18:00,7.5,36,0,15.2,1000.7
2024-03-11T19:00,5.7,44,0,10.8,1000.5
2024-03-11T20:00,5.2,46,0,14.5,1000.4
2024-03-11T21:00,2.8,58,0,10.2,1000.7
2024-03-11T22:00,2.2,64,0,9.4,1000.7
2024-03-11T23:00,1.6,69,0,7.9,1000
2024-03-12T00:00,0.8,77,0,7.1,999.4
2024-03-12T01:00,2.2,69,0,7.7,998.9
2024-03-12T02:00,3,65,0,5.9,998.3
2024-03-12T03:00,3.2,65,0,4.4,997.8
2024-03-12T04:00,2,70,0,7.4,997.6
2024-03-12T05:00,0,81,0,6.9,997.7
2024-03-12T06:00,0.2,83,0,8.7,998.2
2024-03-12T07:00,0,85,0,10,998.9
2024-03-12T08:00,0.2,86,0,10.9,999.6
2024-03-12T09:00,2.9,82,0,10.7,999.5
